class	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CTL	CRF	CRF	CRF	CRF	CRF	CRF	CRF	CRF	CRF
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	160	112	64	217	177	106	52	158	308	228	180	80	59	139	424	42	158	146
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	211	50	89	207	233	232	98	928	1160	1814	1005	636	29	196	115	42	54	67
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	201	112	172	57	551	205	397	425	0	0	11	149	308	45	160	67	109	164
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	30	125	426	377	162	331	10	109	107	363	106	60	68	311	318	581	193	115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	130	125	1163	810	875	1869	88	69	0	13	42	70	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1383	237	540	565	142	219	0	99	1527	242	508	199	0	0	19	8	0	18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae	20	87	44	28	56	27	26	267	59	107	95	139	34	960	229	471	163	231
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	211	75	318	396	238	212	211	49	888	537	1174	99	73	69	127	101	79	67
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	992	75	330	528	460	835	52	1372	391	121	211	50	83	0	66	25	20	24
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	120	87	1099	772	1097	1306	46	49	59	0	455	10	0	0	0	0	0	12
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	70	200	229	518	81	73	62	691	556	175	497	308	64	49	75	252	366	121
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_stercoricanis	0	37	6	0	51	13	46	10	0	0	63	298	24	642	278	942	628	121
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	190	0	121	330	35	13	294	227	1302	3614	508	179	132	49	120	236	64	73
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Clostridium_XVIII	0	1560	0	9	10	27	5	118	0	0	1533	60	337	106	297	177	124	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_stercoricanis	0	50	6	9	35	27	5	30	0	13	95	229	34	682	240	1136	519	73
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	60	75	19	85	25	13	108	168	331	900	254	40	195	323	320	320	262	425
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	571	75	38	283	71	20	191	523	781	1222	624	179	49	49	26	25	40	134
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sartorii	130	25	0	443	0	119	211	109	770	591	603	40	142	106	393	76	0	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	211	25	76	207	15	225	93	721	994	1666	941	527	24	176	127	25	10	18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	702	1223	476	791	182	298	21	39	249	27	328	10	171	114	71	59	15	12
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	221	1061	6	47	491	212	608	227	95	497	761	40	64	41	64	8	232	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0	12	6	9	20	27	5	0	12	0	11	20	15	135	92	244	267	36
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	401	574	254	415	207	205	5	59	36	27	190	0	122	82	42	8	15	24
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum|s__Allobaculum_stercoricanis	0	175	0	0	0	0	62	0	0	0	11	199	288	486	207	294	134	801
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	1123	1223	95	85	865	73	655	355	0	0	0	1123	59	0	12	0	15	97
k__Bacteria	190	100	146	85	56	0	10	178	47	121	63	109	142	315	231	76	74	176
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	241	262	140	85	799	225	423	306	0	0	0	139	293	25	80	67	79	109
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	351	187	197	358	66	152	103	839	639	887	761	129	20	20	31	0	40	6
k__Bacteria|p__Bacteroidetes	201	362	159	57	86	80	103	128	225	296	180	20	93	163	181	42	114	182
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	321	3045	76	132	268	398	88	267	71	13	582	60	44	20	118	0	262	310
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	401	225	191	320	202	73	206	494	201	376	21	40	49	33	64	59	25	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum|s__Allobaculum_stercoricanis	10	200	0	9	0	0	10	0	0	0	11	0	39	294	339	278	223	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	441	150	6	0	30	133	1196	59	36	81	349	10	127	8	12	0	0	18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1544	462	343	311	30	40	0	0	0	0	0	0	0	0	299	286	40	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	702	262	343	273	1659	418	933	839	12	0	21	557	835	159	247	219	331	656
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	50	75	635	330	541	881	41	30	0	0	137	20	0	0	2	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum|s__Allobaculum_stercoricanis	0	25	0	0	0	0	10	0	0	0	0	10	24	282	245	126	193	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	682	200	826	122	15	0	0	0	0	0	0	0	0	0	106	151	10	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	120	175	127	528	121	205	93	276	355	766	486	0	78	25	14	0	25	97
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Allobaculum|s__Allobaculum_stercoricanis	0	87	0	0	0	0	10	20	0	0	0	10	29	351	266	168	282	18
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	10	12	0	38	0	7	0	0	0	13	0	0	29	127	476	505	54	12
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	311	200	32	0	5	152	990	89	24	67	444	10	112	12	9	0	0	24
