#OTU ID	A11	A21	A31	A41	A51	B11	B21	B31	B41	B51	C11	C21	C31	C41	C51	D11	D21	D31	D41	D51	E11	E21	E31	E51	F11	F21	F31	F41	F51
ASV_329	30	62	13	0	20	22	24	89	0	11	68	119	297	171	138	110	60	16	106	18	224	381	30	163	40	77	6	95	46
ASV_33	1199	1984	941	599	1243	217	313	767	450	748	188	83	77	85	130	506	85	474	300	472	355	388	1680	102	433	771	194	144	365
ASV_330	0	8	4	0	10	9	0	4	15	36	128	50	109	51	161	16	17	74	150	0	41	31	0	28	84	40	75	124	40
ASV_331	3	47	50	23	56	27	31	54	89	51	19	36	32	48	34	47	15	19	41	12	3	25	5	0	11	4	14	29	43
ASV_332	3	16	8	13	36	4	3	19	31	4	70	63	131	75	126	25	37	86	119	24	76	37	5	40	51	59	53	46	43
ASV_333	3	47	0	27	10	0	3	8	3	0	0	186	549	17	207	2	20	12	126	27	58	16	0	9	73	264	19	151	53
ASV_34	129	27	92	27	30	67	34	19	86	18	338	23	37	1302	444	461	719	630	10	366	2694	2868	873	1609	2650	1840	419	1250	807
ASV_35	1355	4155	1130	1114	1485	1517	477	333	1027	1032	248	630	687	243	92	216	147	97	82	192	44	84	540	123	47	51	50	29	43
ASV_36	490	717	456	196	685	271	48	159	463	160	405	169	349	356	157	330	194	400	167	380	163	530	777	219	430	364	450	681	415
ASV_37	10	86	280	20	144	4	3	0	3	44	834	1183	663	718	1094	146	209	280	662	784	20	552	1397	604	684	661	1094	1080	50
ASV_38	43	109	71	40	89	53	14	43	80	62	988	461	749	393	922	245	500	661	559	254	422	552	283	764	692	610	922	651	608
ASV_39	46	304	255	150	462	581	651	705	623	516	357	839	324	1060	406	760	167	439	512	315	151	282	96	302	135	217	186	167	90
ASV_4	928	2647	1280	941	2433	1251	545	1278	2041	1162	9340	7341	8395	3459	7200	2663	9412	6605	4834	9013	6830	5540	7537	10206	6986	6831	6602	5971	7758
ASV_40	50	97	109	30	102	75	20	54	130	94	1104	537	729	407	1014	283	716	591	740	345	634	651	318	826	823	639	897	717	595
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1303	1727	7411	2296	0	0	0	0	3
ASV_42	1156	3715	1088	1154	3830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	404	226	540	2854	180	1877	4377	229	250	4093	2	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0
ASV_44	1587	2428	1092	1610	3210	0	3	0	0	0	5	3	0	0	0	0	0	0	0	0	3	3	0	9	7	7	6	13	7
ASV_45	596	125	690	1174	59	617	1029	147	308	1300	12	17	27	38	15	47	42	801	20	9	0	19	0	0	309	33	47	16	33
ASV_46	10	97	0	0	400	0	2592	4	0	0	2	3	5	34	8	70	279	801	72	277	733	313	131	358	0	3643	19	49	56
ASV_47	149	234	172	57	285	191	143	147	256	323	75	255	299	167	80	353	545	152	82	233	55	143	873	225	218	279	483	380	395
ASV_48	66	175	197	77	105	204	78	120	108	193	576	341	410	673	800	420	124	439	638	118	262	409	50	222	382	268	422	517	276
ASV_49	63	168	172	73	85	155	106	85	130	134	480	355	317	598	647	456	184	354	478	147	189	381	61	268	273	180	369	498	302
ASV_5	1107	4058	2523	1321	2341	2915	2896	3653	3432	2412	2165	3997	2196	5480	2747	3987	1368	2546	2712	1993	1225	1891	731	1890	1318	1319	1338	1437	1378
ASV_50	292	195	134	160	108	102	140	27	1736	113	14	17	0	24	4	38	40	16	31	9	201	78	81	71	11	202	14	128	5533
ASV_51	186	144	0	53	154	4	375	205	3	436	227	282	544	458	689	452	619	82	652	333	1626	425	540	46	0	676	75	0	23
ASV_52	113	136	0	40	121	0	324	205	0	454	188	245	502	376	666	465	510	109	583	268	1359	412	429	31	4	15	0	0	0
